behavior,crossing_ids,ctrl_state,ctrl_v,ego_v,ego_x,ego_y,ego_yaw,lead_car_v,lead_car_x,lead_car_y,lead_car_yaw,perc_count,perc_full,perc_near_x,t
,-,,nan,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,0,,nan,9.832
,-,,nan,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,0,,nan,9.832
,-,,nan,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,0,,nan,9.833
,-,,nan,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,0,,nan,9.833
,-,,nan,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,0,,nan,9.834000000000001
,-,,nan,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,0,,nan,9.834000000000001
,-,,nan,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,0,,nan,9.834000000000001
,-,,nan,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,0,,nan,9.834000000000001
,-,,nan,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,0,,nan,9.84
,-,,nan,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,0,,nan,9.860000000000001
,-,NO_PATH,7.91265688e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.1:0.01:0;2:21.1:-55.5:0.3:0.2:0.03:0;3:44.2:-51.7:1.7:0.1:0.00:4;4:40.9:-44.6:0.3:0.2:0.01:0;5:43.5:-25.6:6.0:6.0:0.05:0;6:21.0:-44.5:0.2:0.2:0.00:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.28425815973505,9.88
,-,NO_PATH,7.91265688e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.1:0.01:0;2:21.1:-55.5:0.3:0.2:0.03:0;3:44.2:-51.7:1.7:0.1:0.00:4;4:40.9:-44.6:0.3:0.2:0.01:0;5:43.5:-25.6:6.0:6.0:0.05:0;6:21.0:-44.5:0.2:0.2:0.00:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.28425815973505,9.9
,-,NO_PATH,2.46976701e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.1:0.01:0;2:21.1:-55.5:0.3:0.2:0.03:0;3:44.2:-51.7:1.7:0.1:0.00:4;4:40.9:-44.6:0.3:0.2:0.01:0;5:43.5:-25.6:6.0:6.0:0.05:0;6:21.0:-44.5:0.2:0.2:0.00:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.28425815973505,9.922
,-,NO_PATH,-5.72915706e-20,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.2:0.01:0;2:21.1:-55.5:0.3:0.2:0.03:0;3:44.2:-51.7:1.7:0.1:0.00:4;4:40.9:-44.6:0.3:0.2:0.01:0;5:43.5:-25.6:6.0:6.0:0.07:0;6:21.0:-44.5:0.2:0.2:0.00:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.28411837217224,9.940000000000001
,-,NO_PATH,8.67153361e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.2:0.01:0;2:21.1:-55.5:0.3:0.2:0.03:0;3:44.2:-51.7:1.7:0.1:0.00:4;4:40.9:-44.6:0.3:0.2:0.01:0;5:43.5:-25.6:6.0:6.0:0.07:0;6:21.0:-44.5:0.2:0.2:0.00:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.28411837217224,9.96
