behavior,cross_car_a_v,cross_car_a_x,cross_car_a_y,cross_car_a_yaw,cross_car_b_v,cross_car_b_x,cross_car_b_y,cross_car_b_yaw,cross_car_c_v,cross_car_c_x,cross_car_c_y,cross_car_c_yaw,ctrl_state,ctrl_v,ego_v,ego_x,ego_y,ego_yaw,perc_near_x,t
,0.0,-60.0,48.25,0.0,,,,,0.0,-60.0,48.25,0.0,,nan,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.524000000000001
,0.0,-60.0,48.25,0.0,,,,,0.0,-60.0,48.25,0.0,,nan,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.525
,0.0,-60.0,48.25,0.0,,,,,0.0,-60.0,48.25,0.0,,nan,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.526
,0.0,-60.0,48.25,0.0,,,,,0.0,-60.0,48.25,0.0,,nan,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.527000000000001
,0.0,-60.0,48.25,0.0,,,,,0.0,-60.0,48.25,0.0,,nan,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.527000000000001
,0.0,-60.0,48.25,0.0,,,,,0.0,-60.0,48.25,0.0,,nan,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.527000000000001
,0.0,-60.0,48.25,0.0,,,,,0.0,-60.0,48.25,0.0,,nan,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.527000000000001
,0.0,-60.0,48.25,0.0,,,,,0.0,-60.0,48.25,0.0,,nan,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.528
,0.0,-60.0,48.25,0.0,,,,,0.0,-60.0,48.25,0.0,,nan,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.528
,0.0,-60.0,48.25,0.0,,,,,0.0,-60.0,48.25,0.0,,nan,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.541
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,,nan,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.56
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,,nan,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.581000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,5.77457695e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.600000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,5.77457695e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.623000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,1.16061352e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.64
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,1.16061352e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.66
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,1.16957168e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.68
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,8.99482163e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.700000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,3.75984465e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.721
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,1.0779514e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.741000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,9.83830091e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.76
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,8.19684119e-20,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.781
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,3.88029701e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.8
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,3.88029701e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.82
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,-1.83466396e-20,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.84
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,2.13557181e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.860000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,-6.71648859e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.88
