behavior,cross_car_a_v,cross_car_a_x,cross_car_a_y,cross_car_a_yaw,cross_car_b_v,cross_car_b_x,cross_car_b_y,cross_car_b_yaw,cross_car_c_v,cross_car_c_x,cross_car_c_y,cross_car_c_yaw,ctrl_state,ctrl_v,ego_v,ego_x,ego_y,ego_yaw,perc_near_x,t
,,,,,0.0,-60.0,48.25,0.0,,,,,NO_PATH,5.62030702e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,8.91
,,,,,0.0,-60.0,48.25,0.0,,,,,NO_PATH,5.62030702e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,8.91
,,,,,0.0,-60.0,48.25,0.0,,,,,NO_PATH,5.62030702e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,8.91
,,,,,0.0,-60.0,48.25,0.0,,,,,NO_PATH,5.62030702e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,8.91
,,,,,0.0,-60.0,48.25,0.0,,,,,NO_PATH,5.62030702e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,8.91
,,,,,0.0,-60.0,48.25,0.0,,,,,NO_PATH,5.62030702e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,8.91
,,,,,0.0,-60.0,48.25,0.0,,,,,NO_PATH,5.62030702e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,8.91
,,,,,0.0,-60.0,48.25,0.0,,,,,NO_PATH,5.62030702e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,8.91
,,,,,0.0,-60.0,48.25,0.0,,,,,NO_PATH,8.56565142e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,8.92
,,,,,0.0,-60.0,48.25,0.0,,,,,NO_PATH,1.04637775e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,8.940000000000001
,,,,,0.0,-60.0,48.25,0.0,,,,,NO_PATH,4.61663188e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,8.96
,,,,,0.0,-60.0,48.25,0.0,,,,,NO_PATH,1.68593151e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,8.98
,,,,,0.0,-60.0,48.25,0.0,,,,,NO_PATH,9.908125e-20,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.0
,,,,,0.0,-60.0,48.25,0.0,,,,,NO_PATH,-1.40415202e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.020000000000001
,,,,,0.0,-60.0,48.25,0.0,,,,,NO_PATH,-4.70242826e-20,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.040000000000001
,,,,,0.0,-60.0,48.25,0.0,,,,,NO_PATH,-3.48742689e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.06
,,,,,0.0,-60.0,48.25,0.0,,,,,NO_PATH,4.56416496e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.08
,,,,,0.0,-60.0,48.25,0.0,,,,,NO_PATH,6.65228134e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.100000000000001
,,,,,0.0,-60.0,48.25,0.0,,,,,NO_PATH,-3.09368098e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.120000000000001
,,,,,0.0,-60.0,48.25,0.0,,,,,NO_PATH,8.55924209e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.14
,,,,,0.0,-60.0,48.25,0.0,,,,,NO_PATH,1.33677065e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.16
,,,,,0.0,-60.0,48.25,0.0,,,,,NO_PATH,6.94321368e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.18
,,,,,0.0,-60.0,48.25,0.0,,,,,NO_PATH,-5.62907038e-20,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.200000000000001
,,,,,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,2.93628844e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.514000000000001
,,,,,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,2.93628844e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.514000000000001
,,,,,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,2.93628844e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.515
,,,,,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,2.93628844e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.515
,,,,,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,2.93628844e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.516
,,,,,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,2.93628844e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.516
,,,,,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,2.93628844e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.517000000000001
,,,,,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,2.93628844e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.518
,,,,,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,2.93628844e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.518
,,,,,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,2.93628844e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.519
,,,,,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,6.924467e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.520000000000001
