behavior,cross_car_a_v,cross_car_a_x,cross_car_a_y,cross_car_a_yaw,cross_car_b_v,cross_car_b_x,cross_car_b_y,cross_car_b_yaw,cross_car_c_v,cross_car_c_x,cross_car_c_y,cross_car_c_yaw,ctrl_state,ctrl_v,ego_v,ego_x,ego_y,ego_yaw,perc_near_x,t
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,4.8269924e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.302000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,4.8269924e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.302000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,4.8269924e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.302000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,4.8269924e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.302000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,4.8269924e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.302000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,4.8269924e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.302000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,4.8269924e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.303
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,4.8269924e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.304
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,4.8269924e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.304
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,4.8269924e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.321
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,1.06167747e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.341000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,6.02689401e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.360000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,6.02689401e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.38
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,3.78862171e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.4
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,5.69832056e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.42
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,4.54349951e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.440000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,2.12440342e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.46
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,4.8871461e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.48
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,4.8871461e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.5
