topic,key,t_s,value
/control/diagnostics,cycle_time_ms,0.04,0.0
/control/diagnostics,cycle_time_ms,0.060000000000000005,0.0
/control/diagnostics,cycle_time_ms,0.08,0.0
/planning/diagnostics,cycle_ms,0.1,0.001963
/control/diagnostics,cycle_time_ms,0.1,0.0
/control/diagnostics,cycle_time_ms,0.12000000000000001,0.0
/control/diagnostics,cycle_time_ms,0.14,0.0
/control/diagnostics,cycle_time_ms,0.16,0.0
/control/diagnostics,cycle_time_ms,0.18000000000000002,0.0
/planning/diagnostics,cycle_ms,0.2,0.002004
/control/diagnostics,cycle_time_ms,0.2,0.0
/control/diagnostics,cycle_time_ms,0.225,0.0
/control/diagnostics,cycle_time_ms,0.24000000000000002,0.0
/control/diagnostics,cycle_time_ms,0.26,0.0
/control/diagnostics,cycle_time_ms,0.28,0.0
/planning/diagnostics,cycle_ms,0.30000000000000004,0.003326
/control/diagnostics,cycle_time_ms,0.30000000000000004,0.0
/control/diagnostics,cycle_time_ms,0.323,0.0
/control/diagnostics,cycle_time_ms,0.34,0.0
/control/diagnostics,cycle_time_ms,0.36000000000000004,0.0
/control/diagnostics,cycle_time_ms,0.38,0.0
/control/diagnostics,cycle_time_ms,0.4,0.0
/planning/diagnostics,cycle_ms,0.4,0.001843
/control/diagnostics,cycle_time_ms,0.42000000000000004,0.0
/control/diagnostics,cycle_time_ms,0.44,0.0
/control/diagnostics,cycle_time_ms,0.46,0.0
/control/diagnostics,cycle_time_ms,0.48000000000000004,0.0
/planning/diagnostics,cycle_ms,0.5,0.003666
/control/diagnostics,cycle_time_ms,0.5,0.0
/control/diagnostics,cycle_time_ms,0.524,0.0
/control/diagnostics,cycle_time_ms,0.54,0.0
/control/diagnostics,cycle_time_ms,0.56,0.0
/control/diagnostics,cycle_time_ms,0.5800000000000001,0.0
/control/diagnostics,cycle_time_ms,0.6000000000000001,0.0
/planning/diagnostics,cycle_ms,0.6000000000000001,0.003436
/control/diagnostics,cycle_time_ms,0.62,0.0
/control/diagnostics,cycle_time_ms,0.64,0.0
/control/diagnostics,cycle_time_ms,0.66,0.0
/control/diagnostics,cycle_time_ms,0.68,0.0
/planning/diagnostics,cycle_ms,0.7000000000000001,0.001943
/control/diagnostics,cycle_time_ms,0.7000000000000001,0.0
/control/diagnostics,cycle_time_ms,0.7200000000000001,0.0
/control/diagnostics,cycle_time_ms,0.74,0.0
/control/diagnostics,cycle_time_ms,0.76,0.0
